# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: wb16vcl_try1
# Creation date: 03/21/2018 15:15:22
# 
# 03/21/2018 15:15:22
# The parameters defined in the project are:
# P2 - ZXPlane.TH_core2 [mm],P1 - ZXPlane.TH_core3 [mm],P3 - ZXPlane.TH_core [mm],P4 - ZXPlane.TH_tot [mm],P5 - ZXPlane.TH_core4 [mm],P6 - ZXPlane.Rad_tot [mm],P7 - ZXPlane.Rad_core4 [mm],P8 - ZXPlane.Rad_core3 [mm],P9 - ZXPlane.Rad_core2 [mm],P10 - ZXPlane.Rad_core [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P3,P4,P5,P6,P7,P8,P9,P10
DP 0,0.31,0.37,0.25,0.5,0.44,12,3,1.5,1,0.5
# 
# A non parametric change occurred and invalidated design point results.
# 03/27/2018 11:52:31
# 
# 
# 03/27/2018 11:58:41
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P3 - Convection Film Coefficient [W m^-2 C^-1],P4 - Temperature 3 Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P3,P4
DP 1,11,1,20,24.21990965040947
DP 2,11,1,15,24.384824187759875
DP 3,11,1,10,24.6188061026121
DP 4,11,1,5,25.0302292009213
# 
# A non parametric change occurred and invalidated design point results.
# 03/27/2018 12:10:46
# 
# 
# A non parametric change occurred and invalidated design point results.
# 03/28/2018 12:33:29
# 
# 
# A non parametric change occurred and invalidated design point results.
# 03/28/2018 13:07:45
# 
# 
# A non parametric change occurred and invalidated design point results.
# 03/29/2018 11:54:57
# 
# 
# A non parametric change occurred and invalidated design point results.
# 04/02/2018 18:32:51
# 
# 
# A non parametric change occurred and invalidated design point results.
# 04/03/2018 01:47:15
# 
# 
# 04/03/2018 02:35:48
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P3 - Convection Film Coefficient [W m^-2 C^-1],P4 - Temperature 3 Maximum [C],P5 - Temperature 4 Maximum [C],P6 - top.mid.slicer [mm],P7 - botmidslicer.FD1 [mm],P8 - Temperature - Path bot surf X  2 Maximum [C],P9 - Temperature - Path bot surf X  3 Maximum [C],P10 - Temperature - Path center bot X 2 Maximum [C],P11 - Temperature - Path top center X  2 Maximum [C],P12 - Temperature - Path bot surf X  2 Maximum [C],P13 - Temperature - Path bot surf X  3 Maximum [C],P14 - Temperature - Path bot surf X  4 Maximum [C],P15 - Temperature - PathZ 0p5 Y 2 Maximum [C],P16 - Temperature - PathZ 1p5 Y  2 Maximum [C],P17 - Temperature - PathZ 1p5 Y  3 Maximum [C],P18 - Temperature - PathZ 1p5 Y  4 Maximum [C],P19 - Temperature - PathZ 1p5 Y  5 Maximum [C],P20 - Temperature - PathZ 1p5 Y  6 Maximum [C],P21 - Temperature - PathZ 1p5 Y  7 Maximum [C],P22 - Temperature - PathZ 1p5 Y  8 Maximum [C],P23 - Temperature - Path bot Y 3 Maximum [C],P24 - Temperature - 1p0 middle ring 2 Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
DP 1,11,1.5,20,59.797238054631691,90.67270933226645,0.5,-0.5,102.89798685972126,76.085580484852741,54.902789004617574,49.143191496156312,106.03739812918175,79.522299276160084,54.924144180637157,44.487734255187732,102.89798685972126,105.60185344419406,92.48497046556578,69.765668246307712,54.649393158475995,62.191535027153144,50.94755117804025,54.819938659667969,44.466617584228516
DP 2,11,1.5,15,62.445981121022086,93.168197208015,0.5,-0.5,105.33982675572767,78.5616845362845,57.505804275142047,51.990450554806912,108.49002802192248,81.949345973083751,57.287122439519663,46.7576806832364,105.33982675572767,108.05936126501035,94.932626310026976,72.32413347019579,57.422094937023914,64.718049155482589,53.657323466683984,57.180244445800788,46.734619140625
DP 3,11,1.5,10,66.58405354800729,97.130203313735493,0.5,-0.5,109.24042149884971,82.50306509203034,61.595120091337265,56.360957207497286,112.40280487331283,85.83245588719754,61.095472513887543,50.457926679822151,109.24042149884971,111.97772198793527,98.840450954818749,76.358586881433766,61.701781647590252,68.718405225991845,57.870037590736708,60.985622406005859,50.431377410888672
DP 4,11,1.5,5,75.773740288990709,106.11242957666606,0.5,-0.5,118.1506166289204,91.463335871088844,70.732732300134757,65.830873641172332,121.32704498039166,94.7213441573692,69.8946557425283,59.127465505388294,118.1506166289204,120.90850148831707,107.75994614413365,85.426307989599877,71.057310130694489,77.749665096517276,67.154135874658152,69.781471252441392,59.095657348632813
# 
# A non parametric change occurred and invalidated design point results.
# 04/13/2018 12:55:33
# 
# 
# A non parametric change occurred and invalidated design point results.
# 04/16/2018 13:52:09
# 
# 
# A non parametric change occurred and invalidated design point results.
# 04/16/2018 17:33:05
# 
# 
# 04/16/2018 19:06:34
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P4 - Temperature 3 Maximum [C],P5 - Temperature 4 Maximum [C],P6 - top.mid.slicer [mm],P7 - botmidslicer.FD1 [mm],P8 - Temperature - Path bot surf X  2 Maximum [C],P9 - Temperature - Path bot surf X  3 Maximum [C],P10 - Temperature - Path center bot X 2 Maximum [C],P11 - Temperature - Path top center X  2 Maximum [C],P12 - Temperature - Path bot surf X  2 Maximum [C],P13 - Temperature - Path bot surf X  3 Maximum [C],P14 - Temperature - Path bot surf X  4 Maximum [C],P15 - Temperature - PathZ 0p5 Y 2 Maximum [C],P16 - Temperature - PathZ 1p5 Y  2 Maximum [C],P17 - Temperature - PathZ 1p5 Y  3 Maximum [C],P18 - Temperature - PathZ 1p5 Y  4 Maximum [C],P19 - Temperature - PathZ 1p5 Y  5 Maximum [C],P20 - Temperature - PathZ 1p5 Y  6 Maximum [C],P21 - Temperature - PathZ 1p5 Y  7 Maximum [C],P22 - Temperature - PathZ 1p5 Y  8 Maximum [C],P23 - Temperature - Path bot Y 3 Maximum [C],P24 - Temperature - 1p0 middle ring 2 Maximum [C],P25 - Convection 2 Film Coefficient [W m^-2 C^-1],P26 - Convection 3 Film Coefficient [W m^-2 C^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
DP 0,11,1.5,0,148.45888325827011,0.5,-0.5,138.20516177824612,123.18589239872374,0,0,149.05965254974564,111.21907642851102,74.273884537853135,55.8469922249854,138.20516177824612,146.52223298216927,129.30107451940887,0,0,0,0,74.012313843045291,55.846168518072879,10,20
# 
# A non parametric change occurred and invalidated design point results.
# 04/16/2018 19:15:30
# 
# 
# A non parametric change occurred and invalidated design point results.
# 04/16/2018 20:01:00
# 
# 
# 04/16/2018 20:19:52
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P4 - Temperature 3 Maximum [C],P5 - Temperature 4 Maximum [C],P6 - top.mid.slicer [mm],P7 - botmidslicer.FD1 [mm],P8 - Temperature - Path bot surf X  2 Maximum [C],P9 - Temperature - Path bot surf X  3 Maximum [C],P10 - Temperature - Path center bot X 2 Maximum [C],P11 - Temperature - Path top center X  2 Maximum [C],P12 - Temperature - Path bot surf X  2 Maximum [C],P13 - Temperature - Path bot surf X  3 Maximum [C],P14 - Temperature - Path bot surf X  4 Maximum [C],P15 - Temperature - PathZ 0p5 Y 2 Maximum [C],P16 - Temperature - PathZ 1p5 Y  2 Maximum [C],P17 - Temperature - PathZ 1p5 Y  3 Maximum [C],P18 - Temperature - PathZ 1p5 Y  4 Maximum [C],P19 - Temperature - PathZ 1p5 Y  5 Maximum [C],P20 - Temperature - PathZ 1p5 Y  6 Maximum [C],P21 - Temperature - PathZ 1p5 Y  7 Maximum [C],P22 - Temperature - PathZ 1p5 Y  8 Maximum [C],P23 - Temperature - Path bot Y 3 Maximum [C],P24 - Temperature - 1p0 middle ring 2 Maximum [C],P25 - Convection 2 Film Coefficient [W m^-2 C^-1],P26 - Convection 3 Film Coefficient [W m^-2 C^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
DP 0,11,1.5,0,147.45888325827016,0.5,-0.5,137.20516177824612,122.18589239872374,0,0,148.05965254974564,110.21907642851102,73.273884537853149,54.846992224985392,137.20516177824612,145.52223298216924,128.301073262569,0,0,0,0,73.0123138430453,54.846168518072872,10,20
# 
# A non parametric change occurred and invalidated design point results.
# 04/16/2018 20:37:03
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/07/2018 18:53:49
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/07/2018 21:04:51
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/09/2018 13:33:37
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/17/2018 16:48:03
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/18/2018 14:10:26
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/21/2018 14:37:03
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/22/2018 12:52:56
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/22/2018 18:29:27
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2018 18:55:08
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2018 15:44:01
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/26/2018 18:22:30
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/28/2018 09:42:33
# 
# 
# 05/28/2018 13:11:08
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P4 - Temperature 3 Maximum [C],P5 - Temperature 4 Maximum [C],P6 - top.mid.slicer [mm],P7 - botmidslicer.FD1 [mm],P8 - Temperature - Path bot surf X  2 Maximum [C],P9 - Temperature - Path bot surf X  3 Maximum [C],P10 - Temperature - Path center bot X 2 Maximum [C],P11 - Temperature - Path top center X  2 Maximum [C],P12 - Temperature - Path bot surf X  2 Maximum [C],P13 - Temperature - Path bot surf X  3 Maximum [C],P14 - Temperature - Path bot surf X  4 Maximum [C],P15 - Temperature - PathZ 0p5 Y 2 Maximum [C],P16 - Temperature - PathZ 1p5 Y  2 Maximum [C],P17 - Temperature - PathZ 1p5 Y  3 Maximum [C],P18 - Temperature - PathZ 1p5 Y  4 Maximum [C],P19 - Temperature - PathZ 1p5 Y  5 Maximum [C],P20 - Temperature - PathZ 1p5 Y  6 Maximum [C],P21 - Temperature - PathZ 1p5 Y  7 Maximum [C],P22 - Temperature - PathZ 1p5 Y  8 Maximum [C],P23 - Temperature - Path bot Y 3 Maximum [C],P24 - Temperature - 1p0 middle ring 2 Maximum [C],P40 - Commands (APDL) ARG5 film thickness,P39 - Commands (APDL) ARG1 model half thickness,P38 - Commands (APDL) ARG2 abosrption ratio,P37 - Commands (APDL) ARG3 Extincted Power,P36 - Commands (APDL) ARG4 AuNP Beta (OD/thickness),P35 - Commands (APDL) ARG6 beam width,P41 - line data Commands (APDL) 3 ARG1 perylene Beta,P42 - line data Commands (APDL) 3 ARG2 Sample Thickness,P43 - MidLayerConvectionFaces Film Coefficient [W m^-2 C^-1],P44 - MidLayerConvectionFaces Ambient Temperature [C],P45 - Convection 2 Film Coefficient [W m^-2 C^-1],P46 - line data Commands (APDL) 3 ARG3 disc Radius,P47 - line data Commands (APDL) 3 ARG4 assembly thickness,P48 - line data Commands (APDL) 3 ARG5 Convection off Face
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P40,P39,P38,P37,P36,P35,P41,P42,P43,P44,P45,P46,P47,P48
DP 5,11,1.5,0,121.55991964816417,0.5,-0.5,110.73353299374072,100.96992433667846,0,0,121.55991964816417,85.628793292532464,64.375558242173369,53.5784081427469,110.73353299374072,117.88820657567908,104.28733298193401,0,0,0,0,64.186927795408991,53.570045471188322,0.00105,-0.0005,0.5,0.05351,1052,0.00025,1052,0.00105,5,21,5,0.011,0.0015,5
DP 4,11,1.5,0,104.91862230613556,0.5,-0.5,95.280292234221278,84.699098437670273,0,0,105.12470374287446,70.06887342234468,50.194501780518543,40.65425808756256,95.280292234221278,102.14280593688025,88.677050769680363,0,0,0,0,50.089607238768451,40.650505065915347,0.00105,-0.0005,0.5,0.05351,1052,0.00025,1052,0.00105,15,21,15,0.011,0.0015,15
DP 3,11,1.5,0,97.113294684532448,0.5,-0.5,88.468785751772771,77.248789137866723,0,0,97.529089593419258,63.278437778338024,44.376658902647868,35.67609915510851,88.468785751772771,95.087669310689463,81.750811330245654,0,0,0,0,44.300312042235319,35.674041748044544,0.00105,-0.0005,0.5,0.05351,1052,0.00025,1052,0.00105,25,21,25,0.011,0.0015,25
# 
# 05/30/2018 12:59:41
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P2 - ZXPlane.Rad_core0p5 [mm],P1 - ZXPlane.HThick_core0p5 [mm],P4 - Temperature 3 Maximum [C],P5 - Temperature 4 Maximum [C],P6 - top.mid.slicer [mm],P7 - botmidslicer.FD1 [mm],P8 - Temperature - Path bot surf X  2 Maximum [C],P9 - Temperature - Path bot surf X  3 Maximum [C],P10 - Temperature - Path center bot X 2 Maximum [C],P11 - Temperature - Path top center X  2 Maximum [C],P12 - Temperature - Path bot surf X  2 Maximum [C],P13 - Temperature - Path bot surf X  3 Maximum [C],P14 - Temperature - Path bot surf X  4 Maximum [C],P15 - Temperature - PathZ 0p5 Y 2 Maximum [C],P16 - Temperature - PathZ 1p5 Y  2 Maximum [C],P17 - Temperature - PathZ 1p5 Y  3 Maximum [C],P18 - Temperature - PathZ 1p5 Y  4 Maximum [C],P19 - Temperature - PathZ 1p5 Y  5 Maximum [C],P20 - Temperature - PathZ 1p5 Y  6 Maximum [C],P21 - Temperature - PathZ 1p5 Y  7 Maximum [C],P22 - Temperature - PathZ 1p5 Y  8 Maximum [C],P23 - Temperature - Path bot Y 3 Maximum [C],P24 - Temperature - 1p0 middle ring 2 Maximum [C],P40 - Commands (APDL) ARG5 film thickness,P39 - Commands (APDL) ARG1 model half thickness,P38 - Commands (APDL) ARG2 abosrption ratio,P37 - Commands (APDL) ARG3 Extincted Power,P36 - Commands (APDL) ARG4 AuNP Beta (OD/thickness),P35 - Commands (APDL) ARG6 beam width,P41 - line data Commands (APDL) 3 ARG1 perylene Beta,P42 - line data Commands (APDL) 3 ARG2 Sample Thickness,P43 - MidLayerConvectionFaces Film Coefficient [W m^-2 C^-1],P44 - MidLayerConvectionFaces Ambient Temperature [C],P45 - Convection 2 Film Coefficient [W m^-2 C^-1],P46 - line data Commands (APDL) 3 ARG3 disc Radius,P47 - line data Commands (APDL) 3 ARG4 assembly thickness,P48 - line data Commands (APDL) 3 ARG5 Convection off Face
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P2,P1,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P40,P39,P38,P37,P36,P35,P41,P42,P43,P44,P45,P46,P47,P48
